date,open_lag1,high_lag1,low_lag1,close_lag1,volume_lag1,log_volume_lag1,return_lag1,high_low_range_lag1,open_close_gap_lag1,news_count_lag1,analyst_news_count_lag1,partner_news_count_lag1,target_return
2010-01-06,53.57,53.6,50.81,51.51,3393300.0,15.037313751885915,-0.03753178865624858,0.05416423995340709,0.001682872101720333,0.0,0.0,0.0,0.03453553173301409
2010-01-07,51.53,53.71,50.38,53.32,3327200.0,15.017641967963812,0.03453553173301409,0.062453113278319546,0.00038827412152986075,0.0,0.0,0.0,-0.017404903983511417
2010-01-08,54.12,54.3,52.2406,52.4,1422200.0,14.167716229567294,-0.017404903983511417,0.03930152671755719,0.01500375093773438,0.0,0.0,0.0,0.01702973984480227
2010-01-11,52.49,54.2,52.26,53.3,1168700.0,13.97140343357246,0.01702973984480227,0.036397748592870635,0.0017175572519084622,0.0,0.0,0.0,-0.001314183987132827
2010-01-12,53.62,53.93,52.7,53.23,969100.0,13.784124116607364,-0.001314183987132827,0.023107270336276478,0.006003752345215766,0.0,0.0,0.0,-0.016288238893269694
2010-01-13,52.7,53.08,52.16,52.37,904300.0,13.714917548555672,-0.016288238893269694,0.017567309528355963,-0.009956791283110916,0.0,0.0,0.0,0.029909123048158785
2010-01-14,53.29,54.28,52.91,53.96,2060300.0,14.538362646596642,0.029909123048158785,0.025389177168272877,0.017567309528355963,0.0,0.0,0.0,-0.05661349627249077
2010-01-15,52.63,53.03,50.89,50.99,2526500.0,14.742345899518494,-0.05661349627249077,0.04196901353206512,-0.02464788732394363,0.0,0.0,0.0,-0.000784775398330502
2010-01-19,50.72,51.85,50.63,50.95,1861600.0,14.4369474281424,-0.000784775398330502,0.023945044160942078,-0.0052951559129241635,0.0,0.0,0.0,0.004894772376728207
2010-01-20,50.75,51.68,50.7,51.2,757500.0,13.537780136496803,0.004894772376728207,0.01914062499999994,-0.003925417075564334,0.0,0.0,0.0,0.000780944983071351
2010-01-21,50.86,52.45,50.55,51.24,1383600.0,14.14020007879713,0.000780944983071351,0.03708040593286506,-0.006640625000000067,0.0,0.0,0.0,-0.0009762765590416708
2010-01-22,50.52,52.18,50.5,51.19,1230700.0,14.023094483705803,-0.0009762765590416708,0.03281890994334831,-0.014051522248243537,0.0,0.0,0.0,-0.0058777598687505105
2010-01-25,51.08,52.39,50.5,50.89,1342200.0,14.109821361751447,-0.0058777598687505105,0.03713892709766163,-0.0021488571986716045,0.0,0.0,0.0,-0.0351965944201844
2010-01-26,51.05,51.4986,48.52,49.13,1970200.0,14.49364612596627,-0.0351965944201844,0.06062690820272746,0.0031440361564157317,0.0,0.0,0.0,0.016552658914005557
2010-01-27,48.72,50.25,48.56,49.95,1620500.0,14.298245918657038,0.016552658914005557,0.03383383383383379,-0.0083452065947487,0.0,0.0,0.0,0.020214719257387763
2010-01-28,50.0,51.18,48.95,50.97,3335300.0,15.020073488131699,0.020214719257387763,0.0437512262114969,0.001001001001000944,0.0,0.0,0.0,0.2125322211976733
2010-01-29,61.69,63.85,60.73,63.04,11050400.0,16.217977274862346,0.2125322211976733,0.0494923857868021,0.21031979595840689,0.0,0.0,0.0,-0.012610910204806668
2010-02-01,62.74,64.57,61.55,62.25,3514900.0,15.072521917823149,-0.012610910204806668,0.048514056224899536,-0.00475888324873092,0.0,0.0,0.0,-0.019792988788413377
2010-02-02,61.81,62.87,59.73,61.03,2702000.0,14.809503167598438,-0.019792988788413377,0.05145010650499755,-0.007068273092369441,0.0,0.0,0.0,0.01334655228209343
2010-02-03,60.9,62.15,60.87,61.85,1463200.0,14.19613705949213,0.01334655228209343,0.020695230396119663,-0.002130099950843889,0.0,0.0,0.0,0.0016155092366545928
2010-02-04,61.85,62.88,61.33,61.95,1251600.0,14.039934089753855,0.0016155092366545928,0.02502017756255051,0.0,0.0,0.0,0.0,-0.026332374344236378
2010-02-05,61.35,62.2499,60.13,60.34,1575200.0,14.269893441146872,-0.026332374344236378,0.03513258203513414,-0.009685230024213098,0.0,0.0,0.0,0.008252233660176987
2010-02-08,60.17,61.01,59.28,60.84,1585600.0,14.276474073233747,0.008252233660176987,0.02843523997370146,-0.0028173682466026135,0.0,0.0,0.0,0.0009857073247591282
2010-02-09,60.94,61.71,60.0,60.9,1335200.0,14.10459240028095,0.0009857073247591282,0.028078817733990163,0.0016436554898092424,0.0,0.0,0.0,0.01999578935975126
2010-02-10,61.06,62.16,60.97,62.13,1258800.0,14.045670238579445,0.01999578935975126,0.019153388057299173,0.0026272577996716536,0.0,0.0,0.0,-0.01035440411022413
2010-02-11,62.11,62.43,61.04,61.49,829700.0,13.628820673906562,-0.01035440411022413,0.022605301675069127,-0.0003219056816353312,0.0,0.0,0.0,0.02995818754079195
2010-02-12,61.21,63.49,61.1001,63.36,1029100.0,13.844196163546576,0.02995818754079195,0.037719381313131385,-0.004553585948934805,0.0,0.0,0.0,-0.0028449521322312507
2010-02-16,63.0,63.1833,62.08,63.18,1201200.0,13.998832447591798,-0.0028449521322312507,0.017462804685026978,-0.005681818181818173,0.0,0.0,0.0,0.026243305505232708
2010-02-17,63.62,65.01,63.5,64.86,1417500.0,14.164406020051167,0.026243305505232708,0.02328091273512188,0.006964229186451372,0.0,0.0,0.0,-0.005410850335021486
2010-02-18,64.79,64.79,63.43,64.51,1162000.0,13.96565407697882,-0.005410850335021486,0.021082002790265175,-0.0010792476102373294,0.0,0.0,0.0,0.02434849631349023
2010-02-19,63.91,66.27,63.89,66.1,1258000.0,14.045034511154766,0.02434849631349023,0.036006051437216274,-0.009300883583940605,0.0,0.0,0.0,0.008286299767077154
2010-02-22,65.85,67.0701,65.53,66.65,1259000.0,14.045829107307345,0.008286299767077154,0.02310727681920473,-0.003782148260211801,0.0,0.0,0.0,-0.02092253397759175
2010-02-23,67.04,67.3,63.81,65.27,5042600.0,15.43343257835706,-0.02092253397759175,0.05347020070476475,0.005851462865716437,0.0,0.0,0.0,-0.01419557860499042
2010-02-24,64.86,65.25,64.17,64.35,1864200.0,14.43834310103218,-0.01419557860499042,0.01678321678321676,-0.006281599509728767,0.0,0.0,0.0,0.0052696960137584925
2010-02-25,64.71,65.38,64.16,64.69,1715100.0,14.354982528976384,0.0052696960137584925,0.018859174524656037,0.005594405594405586,0.0,0.0,0.0,0.014121493300892143
2010-02-26,63.99,65.62,63.1,65.61,1531100.0,14.241497642418178,0.014121493300892143,0.038408779149519935,-0.010820837842015702,0.0,0.0,0.0,0.006683907611548124
2010-03-01,65.66,66.83,65.3,66.05,1231500.0,14.023744308560264,0.006683907611548124,0.023164269492808497,0.0007620789513793196,0.0,0.0,0.0,0.0537882867981439
2010-03-02,66.02,69.75,66.02,69.7,1838100.0,14.42424353142175,0.0537882867981439,0.05351506456241038,-0.00045420136260410505,0.0,0.0,0.0,-0.010383710257783282
2010-03-03,69.99,70.0,68.82,68.98,1708100.0,14.350892785071798,-0.010383710257783282,0.017106407654392676,0.004160688665710072,0.0,0.0,0.0,-0.020948543102487106
2010-03-04,66.13,68.39,65.62,67.55,3149900.0,14.9628815817365,-0.020948543102487106,0.041006661732050274,-0.04131632357204999,0.0,0.0,0.0,0.0067866887813396734
2010-03-05,67.2,68.57,67.14,68.01,1009000.0,13.824471290415532,0.0067866887813396734,0.021026319658873586,-0.005181347150258983,0.0,0.0,0.0,-0.0053073985707502574
2010-03-08,68.25,68.695,67.03,67.65,1302500.0,14.079796820363683,-0.0053073985707502574,0.024611973392461076,0.0035288928098808243,0.0,0.0,0.0,0.015110681412477657
2010-03-09,67.99,68.76,67.82,68.68,866300.0,13.67198770221209,0.015110681412477657,0.013686662783925625,0.005025868440502426,0.0,0.0,0.0,0.018179695605954813
2010-03-10,68.2,71.345,68.15,69.94,2025700.0,14.52142637145829,0.018179695605954813,0.04568201315413202,-0.006988934187536458,0.0,0.0,0.0,0.01897805152732424
2010-03-11,70.27,71.5485,70.07,71.28,1106400.0,13.916622963164526,0.01897805152732424,0.02074214365881048,0.004718329997140382,0.0,0.0,0.0,-0.0012634240467720174
2010-03-12,71.1,71.59,70.43,71.19,1208200.0,14.004643034363973,-0.0012634240467720174,0.016294423374069344,-0.002525252525252621,0.0,0.0,0.0,-0.01714287217623982
2010-03-15,70.15,70.5,69.32,69.98,1338500.0,14.107060889047233,-0.01714287217623982,0.016861960560160143,-0.014608793369855206,0.0,0.0,0.0,-0.005444919599168161
2010-03-16,69.98,69.98,69.16,69.6,1001800.0,13.817309938108389,-0.005444919599168161,0.011781609195402406,0.0,0.0,0.0,0.0,0.014690416080457038
2010-03-17,69.55,70.8501,69.55,70.63,1214000.0,14.00943207432447,0.014690416080457038,0.01840719241115674,-0.0007183908045976604,0.0,0.0,0.0,0.00409749778517638
2010-03-18,70.9,71.7399,70.4,70.92,627200.0,13.349022342404819,0.00409749778517638,0.018893119007332208,0.0038227382132239875,0.0,0.0,0.0,-0.00537255639810114
2010-03-19,70.71,71.13,70.44,70.54,513300.0,13.14861769672495,-0.00537255639810114,0.009781684150836372,-0.002961082910321601,0.0,0.0,0.0,-0.0012766864632167202
2010-03-22,70.7,70.9,70.07,70.45,1415100.0,14.162711464604053,-0.0012766864632167202,0.011781405251951916,0.002268216614686654,0.0,0.0,0.0,0.03404821704943234
2010-03-23,70.35,73.0,70.05,72.89,1030900.0,13.845943735110197,0.03404821704943234,0.04047194402524355,-0.001419446415897921,0.0,0.0,0.0,0.0009598903719543181
